StudentID,Name,Gender,Department,AdmissionYear,CurrentSemester,Age
ST10044,Anthony Humphrey,Male,IT,2022,8,20
ST10045,Angelica Tucker,Female,IT,2023,8,21
ST10046,Philip Cannon,Male,EEE,2024,2,18
ST10047,John Pierce,Male,CSE,2022,3,24
ST10048,Shane Henderson,Female,EEE,2022,7,18
ST10049,Joshua Blair,Male,EEE,2022,7,22
ST10050,Eric Carney,Female,ECE,2023,8,20
ST10051,Jessica Holmes,Male,ECE,2022,1,18
ST10052,Danny Morgan,Female,CSE,2022,8,20
ST10053,Crystal Robinson,Male,MECH,2022,3,19
ST10054,Mark Perez,Male,AI_DS,2022,7,19
ST10055,Shannon Jones,Male,MECH,2024,1,19
ST10056,Michael Lewis,Female,AI_DS,2024,6,22
ST10057,Timothy Duncan,Male,AI_DS,2024,6,21
ST10058,Richard Aguirre,Female,EEE,2022,5,25
ST10059,Brent Jordan,Female,CSE,2022,8,19
ST10060,John Daniel,Male,MECH,2022,5,20
ST10061,Victoria Garcia,Female,CSE,2022,6,22
ST10062,Gerald Hensley,Male,EEE,2024,5,18
ST10063,Connor West,Female,AI_DS,2022,3,22
ST10064,Donald Wright,Male,CSE,2024,3,22
ST10065,Jessica Callahan,Female,MECH,2022,6,21
ST10066,Amber Kidd,Female,MECH,2023,5,18
ST10067,Tracy House,Male,AI_DS,2023,5,18
ST10068,Carol Tucker,Male,ECE,2022,5,20
ST10069,James Brown,Female,MECH,2024,7,18
ST10070,William Baker,Male,CSE,2024,3,18
ST10071,Jordan Henderson,Female,MECH,2024,3,24
ST10072,Whitney Peters,Male,CSE,2023,6,18
ST10073,Brittney Phillips,Female,IT,2024,4,19
ST10074,Lauren Daniels,Female,MECH,2023,3,21
ST10075,Amy Silva,Male,IT,2023,1,20
ST10076,Sarah Moore,Female,EEE,2024,4,22
ST10077,Angela Lopez,Male,AI_DS,2022,7,18
ST10078,Megan Young,Female,IT,2022,8,23
ST10079,Steve Sanchez,Female,IT,2022,1,21
ST10080,Lisa Barnes,Female,ECE,2023,2,22
ST10081,Kelly Donovan,Female,AI_DS,2024,7,23
ST10082,Mike Allen,Male,CSE,2023,3,22
ST10083,Michael Evans,Male,CSE,2024,7,23
ST10084,Paul Jones,Female,EEE,2024,2,24
ST10085,Zachary Ferrell,Male,ECE,2022,7,18
ST10086,Daniel Baker,Male,ECE,2023,2,23
ST10087,Shirley Suarez,Female,AI_DS,2022,5,22
ST10088,Christopher Bass,Female,ECE,2023,5,20
ST10089,Lisa Archer,Male,EEE,2024,7,20
ST10090,Aimee Montoya,Female,EEE,2024,1,22
ST10091,Matthew Mcmillan,Female,IT,2023,6,25
ST10092,Brian Rodriguez,Female,EEE,2024,4,25
ST10093,Denise Jacobs,Male,AI_DS,2022,5,23
ST10094,Christina Walters,Male,IT,2024,5,21
ST10095,John Whitehead,Male,IT,2022,1,21
ST10096,Anna Henderson,Female,MECH,2022,8,24
ST10097,Aaron Wise,Male,AI_DS,2024,7,25
ST10098,Deborah Figueroa,Female,IT,2022,1,19
ST10099,Jessica Smith,Female,IT,2022,8,18
ST10100,Stephen Mckee,Male,CSE,2023,3,25
ST10101,Sandra Aguilar,Female,EEE,2024,7,25
ST10102,Cameron Parker,Male,AI_DS,2023,8,22
ST10103,Rebecca Valencia,Male,AI_DS,2023,8,21
ST10104,Christine Wright,Female,EEE,2022,5,21
ST10105,Richard Henson,Female,ECE,2023,2,20
ST10106,Marc Moore,Male,IT,2023,3,21
ST10107,Sharon Cherry,Male,EEE,2023,6,25
ST10108,Sierra Johnson,Female,CSE,2022,7,24
ST10109,Evelyn Galvan,Male,MECH,2023,8,18
ST10110,Sharon Cochran,Female,ECE,2023,7,21
ST10111,Richard Rodriguez,Female,IT,2023,7,25
ST10112,Shannon Walker,Male,EEE,2023,7,20
ST10113,Julia Torres,Female,IT,2024,1,24
ST10114,Crystal Johnson,Male,CSE,2024,7,20
ST10115,Garrett Lin,Female,IT,2022,5,24
ST10116,Diana May,Female,IT,2023,6,23
ST10117,William Herrera,Female,ECE,2023,5,19
ST10118,Ashley Waller,Female,CSE,2024,1,23
ST10119,Victor Baker,Male,AI_DS,2022,1,18
ST10120,Jeffrey Chandler,Male,IT,2022,3,21
ST10121,Larry Dixon,Male,EEE,2024,2,21
ST10122,Kenneth Scott,Female,AI_DS,2023,6,20
ST10123,April Frost,Male,IT,2023,2,18
ST10124,Michelle Harmon,Female,MECH,2024,7,24
ST10125,Helen Jones,Male,CSE,2024,4,19
ST10126,Erin Edwards,Female,AI_DS,2024,2,18
ST10127,Michelle Evans,Female,MECH,2023,6,19
ST10128,Jason Powell,Female,CSE,2023,8,19
ST10129,Cameron Fisher,Female,ECE,2024,8,20
ST10130,Megan Orr,Female,IT,2024,5,25
ST10131,Elizabeth Kelley,Female,EEE,2024,5,23
ST10132,Dustin Jordan,Male,CSE,2023,8,21
ST10133,Mary Marshall,Female,MECH,2024,7,23
ST10134,Daniel Kennedy,Male,EEE,2023,3,25
ST10135,Rebecca Jackson,Male,ECE,2023,6,22
ST10136,Jose Schultz,Female,MECH,2022,4,19
ST10137,Robert Potter,Male,AI_DS,2023,8,21
ST10138,Courtney Gonzalez,Female,AI_DS,2024,8,25
ST10139,David Alvarez,Male,CSE,2023,4,24
ST10140,Angel Perry,Male,ECE,2024,6,25
ST10141,Cheyenne Horton,Female,EEE,2024,6,23
ST10142,David Douglas Jr.,Female,ECE,2023,5,21
ST10143,Patricia Rodriguez,Male,AI_DS,2022,6,19
ST10144,Christopher Rubio,Male,IT,2022,8,22
ST10145,Amber Wright,Female,CSE,2022,5,21
ST10146,Joyce Solis,Female,IT,2023,1,20
ST10147,Victoria Larson,Female,CSE,2022,5,20
ST10148,Stephanie Salazar,Female,CSE,2022,5,25
ST10149,Kathy Rivas,Female,EEE,2023,3,18
ST10150,Stephanie Manning,Female,EEE,2022,2,24
ST10151,David Wright,Female,CSE,2024,1,20
ST10152,Pamela Boyd,Male,MECH,2023,2,21
ST10153,Denise Jones,Male,MECH,2023,4,24
ST10154,Devon Flores,Female,EEE,2023,7,22
ST10155,Brenda Hall,Male,MECH,2024,2,21
ST10156,Michelle Brown,Male,ECE,2024,2,20
ST10157,Joshua Perry,Male,IT,2024,2,20
ST10158,Jason Stein,Male,EEE,2023,8,22
ST10159,Melissa Gates,Male,IT,2023,5,25
ST10160,Jamie Smith,Male,AI_DS,2022,5,21
ST10161,Paul Castaneda,Female,CSE,2024,4,20
ST10162,Jennifer Adkins,Female,IT,2022,1,20
ST10163,Lindsey Walker,Female,MECH,2024,5,25
ST10164,Jeffrey Johnson,Male,EEE,2024,5,24
ST10165,Michael Powell,Female,MECH,2024,8,25
ST10166,John Anderson,Male,MECH,2022,7,23
ST10167,Alyssa Long,Female,CSE,2022,4,18
ST10168,Alyssa Day,Female,MECH,2022,3,25
ST10169,Joel Williams,Female,ECE,2022,7,25
ST10170,Daniel Murphy,Male,EEE,2023,7,23
ST10171,Jamie Walton,Female,AI_DS,2022,3,23
ST10172,Darlene Miller,Female,AI_DS,2023,5,24
ST10173,Joshua Cooke,Male,EEE,2022,6,22
ST10174,Matthew Harrington,Female,CSE,2023,1,25
ST10175,Nicole Herring,Female,CSE,2022,6,25
ST10176,Alex Hernandez,Female,CSE,2022,5,20
ST10177,Michael Elliott,Female,EEE,2024,8,19
ST10178,Michael Wang,Male,AI_DS,2024,4,20
ST10179,Lawrence Adkins,Female,MECH,2022,7,19
ST10180,Robert Oconnell,Male,CSE,2023,2,20
ST10181,Alexander Collins,Female,AI_DS,2023,5,24
ST10182,Tina Sanders,Female,EEE,2022,8,20
ST10183,Angela Vaughn,Female,IT,2024,3,19
ST10184,Ashley Barton,Female,EEE,2023,5,18
ST10185,Lindsay Martinez,Female,AI_DS,2023,8,20
ST10186,Dr. Hannah Patterson,Female,MECH,2023,6,23
ST10187,Jonathan Peterson,Female,EEE,2023,4,21
ST10188,Samantha Garcia,Female,IT,2023,1,23
ST10189,Madison Poole,Female,AI_DS,2023,7,20
ST10190,Jessica Gross,Female,CSE,2022,6,19
ST10191,Debra Morton,Female,CSE,2024,8,18
ST10192,Karen Graham,Male,EEE,2024,3,19
ST10193,Debra Christian,Female,ECE,2023,7,19
ST10194,Angelica Keith,Female,AI_DS,2024,7,23
ST10195,John Bishop,Female,MECH,2022,2,21
ST10196,Allen Rosales,Female,IT,2024,2,24
ST10197,Daniel Salinas,Male,AI_DS,2024,2,25
ST10198,Spencer Haynes,Male,AI_DS,2023,1,18
ST10199,Adam Vaughan,Female,CSE,2023,6,23
ST10200,Nathan Freeman,Female,IT,2022,7,20
ST10201,Melissa Brewer,Male,IT,2022,7,21
ST10202,Ricky Davis II,Female,MECH,2022,4,25
ST10203,Elizabeth Perkins,Female,EEE,2023,1,25
ST10204,Joseph Coleman,Female,AI_DS,2024,3,19
ST10205,Erin Warner,Female,ECE,2024,5,24
ST10206,David Martinez,Female,EEE,2023,4,24
ST10207,Bryan Herrera,Female,CSE,2022,7,23
ST10208,Cathy Robinson,Female,AI_DS,2023,1,24
ST10209,Dr. William Warren,Female,CSE,2024,1,25
ST10210,Brian Lee,Female,IT,2024,6,21
ST10211,Christopher Smith,Male,MECH,2023,3,19
ST10212,Denise Mccann,Male,ECE,2023,1,23
ST10213,Melissa Martinez,Male,CSE,2023,6,24
ST10214,Katherine Salas,Male,IT,2022,6,22
ST10215,Julie Alexander,Male,ECE,2023,5,23
ST10216,Anthony Everett,Male,EEE,2022,3,21
ST10217,Rodney Morales,Female,MECH,2023,2,24
ST10218,Mark Brown,Male,ECE,2024,2,25
ST10219,Justin Torres,Female,AI_DS,2024,5,24
ST10220,Bailey Duran DDS,Female,CSE,2024,4,25
ST10221,Courtney Mills,Male,MECH,2024,6,21
ST10222,Jeremy Dalton,Male,AI_DS,2023,5,24
ST10223,Elizabeth Oliver DDS,Male,IT,2022,1,22
ST10224,Theresa Clark,Female,CSE,2022,4,20
ST10225,Matthew Moore,Female,EEE,2023,7,20
ST10226,Benjamin Smith,Female,AI_DS,2022,8,24
ST10227,Kirk Carter,Female,CSE,2024,6,21
ST10228,Michael Warner,Female,EEE,2022,6,19
ST10229,Michael Bradshaw,Female,MECH,2024,6,18
ST10230,Lori Guerrero,Female,ECE,2022,2,25
ST10231,Jessica Stephens,Male,AI_DS,2022,1,18
ST10232,Susan Serrano,Female,IT,2022,4,19
ST10233,Christopher Parker,Male,MECH,2022,4,23
ST10234,Laura Roberts,Male,MECH,2022,5,20
ST10235,Michael Lyons,Male,MECH,2023,3,19
ST10236,Kathryn Snyder,Male,IT,2022,6,21
ST10237,Andrew Reynolds,Female,CSE,2022,5,18
ST10238,David Davis,Male,AI_DS,2023,2,19
ST10239,Sara Johnston,Female,EEE,2023,2,25
ST10240,Yvonne Chambers,Male,MECH,2022,5,25
ST10241,Andrew Avila,Male,CSE,2023,7,24
ST10242,Matthew Moon,Male,EEE,2024,8,19
ST10243,Kevin Walters,Male,ECE,2024,3,19
ST10244,Brandon Bailey MD,Male,ECE,2024,6,24
ST10245,Shannon Rivera,Female,EEE,2024,7,19
ST10246,Donna Landry,Male,AI_DS,2024,4,24
ST10247,Krista Gibson,Female,IT,2023,6,25
ST10248,Frank Cordova,Female,EEE,2024,2,23
ST10249,Jose Travis,Female,ECE,2024,5,23
ST10250,Kimberly Gutierrez,Male,AI_DS,2023,2,19
ST10251,Isaiah Avila,Male,CSE,2023,2,23
ST10252,Olivia Harris,Male,MECH,2022,6,19
ST10253,Tanya Kim,Female,ECE,2024,7,18
ST10254,Barbara Dudley,Female,MECH,2023,6,19
ST10255,Cynthia Moore,Male,IT,2024,8,21
ST10256,Kristen Davis,Male,ECE,2024,6,19
ST10257,Susan Murray MD,Female,MECH,2022,7,18
ST10258,Kathleen Moran,Female,CSE,2022,5,22
ST10259,Denise Davenport,Female,ECE,2022,3,20
ST10260,Mrs. Kristen Reyes,Female,CSE,2022,1,19
ST10261,Katie Suarez,Male,EEE,2023,8,23
ST10262,Desiree Tyler,Male,ECE,2023,6,19
ST10263,Timothy Romero,Male,IT,2022,1,19
ST10264,Diane Evans,Female,EEE,2024,7,25
ST10265,Yvonne Burns,Female,EEE,2023,4,19
ST10266,Joshua Reed,Female,EEE,2022,5,25
ST10267,Kimberly Gibson,Female,CSE,2022,7,18
ST10268,Colin Terry,Male,IT,2023,4,20
ST10269,Cynthia Rowe,Female,ECE,2023,2,18
ST10270,Patrick Thornton,Female,AI_DS,2023,3,20
ST10271,Jasmin Alvarado,Female,MECH,2024,4,23
ST10272,Veronica Simpson,Male,EEE,2024,1,24
ST10273,Jonathan Lawrence,Male,EEE,2022,6,24
ST10274,Shelly Alexander,Female,AI_DS,2024,7,22
ST10275,Joyce Bowen,Male,EEE,2022,6,20
ST10276,Matthew Moore,Female,AI_DS,2023,2,24
ST10277,Wayne Morgan,Male,IT,2023,7,19
ST10278,Marie Christian,Female,ECE,2024,6,21
ST10279,Shannon James,Female,IT,2022,2,21
ST10280,Nathan Malone,Female,ECE,2024,3,21
ST10281,Amanda Jones,Male,IT,2023,4,20
ST10282,Tammie Bright,Male,AI_DS,2022,3,25
ST10283,Jessica Garcia,Female,MECH,2024,8,23
ST10284,Shelia Wallace,Female,IT,2023,2,25
ST10285,Stephanie Williams,Female,AI_DS,2023,5,18
ST10286,Elaine Brooks,Female,MECH,2022,5,25
ST10287,Joseph Knight,Female,CSE,2022,6,22
ST10288,Carolyn Miller,Male,AI_DS,2022,7,25
ST10289,Lisa Allen,Male,EEE,2024,4,23
ST10290,Briana Murray,Female,MECH,2022,1,25
ST10291,David Smith,Male,ECE,2024,2,20
ST10292,Stephanie Byrd,Male,IT,2024,8,25
ST10293,Jeremy Reed,Male,ECE,2023,5,24
ST10294,Margaret Coleman,Female,ECE,2024,1,23
ST10295,Ryan Gonzalez,Male,ECE,2022,7,22
ST10296,John Young,Female,AI_DS,2024,3,23
ST10297,Laura Haney,Male,MECH,2024,3,23
ST10298,William Barrett,Female,AI_DS,2024,7,20
ST10299,Keith Jennings,Male,ECE,2024,7,23
ST10300,Amber Obrien,Male,AI_DS,2024,2,24
ST10301,Tanner Mitchell DDS,Female,CSE,2023,5,20
ST10302,Heather Fields,Male,ECE,2023,4,21
ST10303,Megan Le,Male,IT,2022,5,19
ST10304,Sara Fuller,Male,AI_DS,2023,3,24
ST10305,Maria Parker,Male,IT,2022,3,25
ST10306,Kevin Oconnor,Male,EEE,2023,4,25
ST10307,Edward Burgess,Female,AI_DS,2023,4,21
ST10308,Carlos Ryan,Female,EEE,2022,6,25
ST10309,Kiara Mcintyre,Female,ECE,2023,7,20
ST10310,Dawn Summers,Male,MECH,2022,5,18
ST10311,Dr. Paul Morgan,Female,ECE,2024,2,19
ST10312,Victor Taylor,Female,CSE,2022,5,25
ST10313,Shannon Ramsey,Male,EEE,2022,4,25
ST10314,Tracy Ballard,Female,CSE,2023,1,24
ST10315,Richard Smith,Female,IT,2023,2,23
ST10316,Jordan Chambers,Male,CSE,2023,2,23
ST10317,Lauren Carson,Male,IT,2022,5,25
ST10318,Ashley Hall,Male,AI_DS,2023,8,18
ST10319,Stephen Hoffman,Male,CSE,2023,4,20
ST10320,Connie Brown,Female,CSE,2023,4,22
ST10321,Susan Turner,Male,CSE,2022,7,25
ST10322,Charles Shah,Male,CSE,2023,1,21
ST10323,Johnathan Davis,Male,ECE,2023,1,23
ST10324,Brandy Chavez,Male,MECH,2023,3,19
ST10325,Natalie Bautista,Female,CSE,2024,1,24
ST10326,Patrick Moore,Female,CSE,2024,7,23
ST10327,Brett Burns,Female,AI_DS,2022,6,19
ST10328,Trevor Johnson,Female,IT,2024,2,23
ST10329,Jeremy Sampson,Male,CSE,2023,6,20
ST10330,Ariana Jennings,Female,AI_DS,2023,3,20
ST10331,Vanessa Howard,Male,AI_DS,2023,1,22
ST10332,Colton Martinez,Male,CSE,2022,1,23
ST10333,Jordan Bates,Female,MECH,2023,8,22
ST10334,Linda Smith,Male,AI_DS,2022,5,23
ST10335,Dana Martinez,Male,AI_DS,2023,5,19
ST10336,Andrea Hubbard,Female,EEE,2023,8,24
ST10337,Daniel Kane,Female,IT,2023,8,23
ST10338,Charles Lester,Female,CSE,2024,7,19
ST10339,Scott Thomas,Female,MECH,2022,5,23
ST10340,David Thompson,Male,CSE,2023,5,22
ST10341,Allison Smith,Female,MECH,2024,7,20
ST10342,Cynthia Morris,Female,ECE,2023,1,23
ST10343,Anthony Harmon,Female,ECE,2024,1,19
ST10344,Nichole Alvarez,Female,ECE,2024,3,18
ST10345,Kayla Rodriguez,Male,MECH,2024,8,18
ST10346,Theresa Williams,Male,CSE,2022,6,23
ST10347,Sharon Boyd,Female,MECH,2022,3,25
ST10348,Victor Brown,Female,ECE,2023,2,20
ST10349,James Parks,Female,EEE,2023,5,21
ST10350,Theodore Jones Jr.,Male,CSE,2024,3,25
ST10351,Ana Hill,Female,MECH,2022,5,22
ST10352,Kimberly Nguyen,Female,IT,2024,5,25
ST10353,Kerry Chavez DDS,Male,CSE,2022,2,25
ST10354,Michael Farrell,Male,AI_DS,2023,2,23
ST10355,Patricia Le,Female,AI_DS,2022,5,22
ST10356,Jesse Perez,Male,AI_DS,2024,3,23
ST10357,Jesse Perry,Male,CSE,2022,3,21
ST10358,Jeffery Ortega,Female,CSE,2023,6,25
ST10359,Christian Leblanc,Male,MECH,2022,2,22
ST10360,Ronald Davis,Female,AI_DS,2024,8,24
ST10361,Parker Cain,Female,MECH,2022,3,23
ST10362,Laurie Hoffman,Male,EEE,2023,6,20
ST10363,Bryan Gomez,Male,IT,2023,1,19
ST10364,Nicole Parrish,Male,ECE,2022,3,23
ST10365,Tracy Burke,Male,ECE,2024,5,19
ST10366,Kenneth Lewis,Female,IT,2024,5,20
ST10367,Courtney Rodriguez,Female,MECH,2024,2,20
ST10368,Holly Farmer,Male,IT,2024,6,18
ST10369,Renee Bruce,Male,CSE,2022,5,21
ST10370,Sabrina Austin,Female,MECH,2024,1,25
ST10371,Allison Hickman,Female,AI_DS,2023,8,21
ST10372,Debra White,Female,ECE,2023,2,18
ST10373,Ellen Morgan,Male,EEE,2023,8,25
ST10374,Sergio Knight,Male,ECE,2024,3,23
ST10375,Charles Schultz,Female,AI_DS,2023,7,20
ST10376,Paul Lewis,Female,MECH,2024,2,23
ST10377,Glen Wood,Male,EEE,2022,5,25
ST10378,Paula Bradley,Male,IT,2022,1,22
ST10379,Anthony Moore,Female,MECH,2023,4,20
ST10380,Megan Nelson,Female,MECH,2024,6,21
ST10381,Karla Ramos,Male,EEE,2024,8,25
ST10382,Paul Wilson,Female,EEE,2022,2,24
ST10383,Douglas Gregory,Female,IT,2022,6,18
ST10384,Mr. Andrew Foster,Male,ECE,2023,8,22
ST10385,Aimee Turner,Male,CSE,2023,3,22
ST10386,Chad Scott,Female,EEE,2023,1,24
ST10387,Adam Burgess,Male,MECH,2024,4,23
ST10388,James Padilla,Female,CSE,2023,8,22
ST10389,Sandra Drake,Male,IT,2022,7,23
ST10390,Scott Williams,Female,MECH,2023,3,21
ST10391,Thomas Atkins,Female,MECH,2022,1,18
ST10392,Laura Mckinney,Male,AI_DS,2023,8,25
ST10393,Brian Smith,Male,MECH,2024,3,23
ST10394,Robert Montgomery,Female,IT,2023,5,23
ST10395,Tamara Davis,Female,AI_DS,2024,5,25
ST10396,Dana Chapman,Male,ECE,2023,2,24
ST10397,Jennifer Collins,Female,AI_DS,2024,1,25
ST10398,Gary Jackson,Female,AI_DS,2024,4,18
ST10399,Ashley Hicks,Female,IT,2024,7,20
ST10400,Hannah Luna,Male,CSE,2024,2,21
ST10401,Robin Young,Male,EEE,2023,7,20
ST10402,Craig Morrison,Female,AI_DS,2022,7,25
ST10403,Mary Thompson,Male,AI_DS,2022,4,23
ST10404,Kathleen Webster,Female,MECH,2023,6,20
ST10405,Joann Glass,Female,MECH,2023,6,22
ST10406,Madison Weber,Female,IT,2022,5,22
ST10407,Lori Hernandez,Male,ECE,2023,4,25
ST10408,Jeremy Turner,Female,EEE,2023,5,22
ST10409,Anthony Romero,Male,MECH,2024,7,24
ST10410,Jesse Brown,Female,IT,2023,1,22
ST10411,Angela Lin,Male,ECE,2023,5,25
ST10412,Lisa Hunter,Male,IT,2024,5,22
ST10413,Julian Conner,Male,CSE,2024,4,21
ST10414,Joanna Pacheco,Male,AI_DS,2024,4,21
ST10415,Erica Alvarez,Male,CSE,2023,6,25
ST10416,Antonio Garcia,Male,AI_DS,2022,1,20
ST10417,Gwendolyn Klein,Female,AI_DS,2023,8,21
ST10418,Carrie Wright,Female,ECE,2023,1,19
ST10419,Jeffrey Mills,Male,MECH,2024,1,20
ST10420,Jake Campbell,Female,IT,2022,7,25
ST10421,George Harper,Male,AI_DS,2023,1,18
ST10422,Maria Jones,Female,MECH,2024,2,23
ST10423,Michael Mitchell,Female,EEE,2024,8,20
ST10424,Mary Escobar,Female,ECE,2022,2,23
ST10425,Felicia Aguilar,Male,AI_DS,2023,5,20
ST10426,Gregory Ponce,Male,AI_DS,2023,5,21
ST10427,Jenna Larson,Male,MECH,2024,7,24
ST10428,Emily Bennett,Female,CSE,2023,2,20
ST10429,Robin Santiago,Male,EEE,2023,4,18
ST10430,Nancy Jennings,Female,EEE,2022,8,22
ST10431,Maria Henderson,Female,ECE,2024,1,22
ST10432,Jack White,Female,AI_DS,2022,1,19
ST10433,Travis Tucker,Female,ECE,2022,7,22
ST10434,Chad Jones,Male,AI_DS,2023,6,21
ST10435,Ashley Wise,Male,IT,2023,3,25
ST10436,Sophia Johnson,Female,EEE,2024,8,21
ST10437,Ralph Anderson,Male,AI_DS,2024,2,25
ST10438,Christopher Guerra,Female,CSE,2024,2,18
ST10439,Rhonda Martin,Male,MECH,2024,3,20
ST10440,Jason Rhodes,Female,MECH,2023,2,21
ST10441,Jeremy Mitchell,Female,CSE,2024,8,18
ST10442,Joann Ferguson,Female,IT,2024,7,25
ST10443,Robert Harrison,Male,MECH,2023,5,18
ST10444,Holly Valentine,Female,ECE,2022,4,19
ST10445,Mrs. Diane Reyes,Male,EEE,2023,2,18
ST10446,Tracy Montoya,Male,EEE,2022,5,24
ST10447,Brenda Wright,Male,IT,2024,7,23
ST10448,Shelly Spencer,Female,EEE,2023,7,19
ST10449,Ryan Rosales,Male,AI_DS,2023,2,20
ST10450,Phillip Nelson,Female,MECH,2022,4,18
ST10451,Brittany Kim,Male,ECE,2023,7,24
ST10452,Courtney Hayes,Male,IT,2023,6,20
ST10453,Alexander Brown,Female,IT,2024,2,18
ST10454,Cynthia Vang,Female,MECH,2022,4,21
ST10455,Alfred Galvan,Male,CSE,2024,1,25
ST10456,Marie Moody,Male,IT,2024,1,24
ST10457,Dustin Gallegos,Female,IT,2024,4,18
ST10458,Brenda Thornton,Male,MECH,2023,4,23
ST10459,Aaron Miller,Female,IT,2023,3,21
ST10460,Ruben Dunn,Female,ECE,2023,1,20
ST10461,Kelsey Rodriguez,Female,MECH,2023,1,23
ST10462,Eric Williams,Female,MECH,2023,7,24
ST10463,Riley Bryant,Male,ECE,2023,3,25
ST10464,Taylor Carlson,Male,IT,2023,3,25
ST10465,Jose Allen,Male,MECH,2023,7,20
ST10466,Jeffrey Mendez,Female,IT,2023,4,23
ST10467,Jason Beck,Male,EEE,2023,2,21
ST10468,William Jones,Male,ECE,2023,1,19
ST10469,Katie Mcneil,Male,MECH,2024,4,25
ST10470,Jeanette Harrison,Male,ECE,2023,1,21
ST10471,Veronica King,Male,AI_DS,2022,8,21
ST10472,Richard Cooper,Male,EEE,2022,6,22
ST10473,Lori Ingram,Female,EEE,2024,6,22
ST10474,Evelyn Williams,Female,ECE,2024,8,25
ST10475,Robin Thompson,Male,AI_DS,2023,6,21
ST10476,Julie Dominguez,Female,ECE,2023,1,21
ST10477,Robin Brown,Male,CSE,2023,7,22
ST10478,Judith Carter,Male,IT,2023,4,24
ST10479,Curtis Williams,Male,EEE,2024,6,22
ST10480,Kaylee Hays,Female,AI_DS,2024,8,25
ST10481,Dawn Mullins,Male,AI_DS,2023,3,20
ST10482,Howard Norman,Female,IT,2024,1,18
ST10483,Evelyn Martinez,Male,AI_DS,2022,1,24
ST10484,Steve Paul,Male,AI_DS,2022,2,20
ST10485,Jasmine Beltran,Male,IT,2024,8,23
ST10486,Jonathan Glass MD,Male,MECH,2024,8,25
ST10487,Monica Miller,Male,CSE,2024,7,18
ST10488,Samantha Gardner,Male,MECH,2024,5,22
ST10489,Bobby Guerrero,Male,MECH,2024,7,20
ST10490,Lance Simmons,Male,CSE,2024,3,21
ST10491,Heather Williams,Male,MECH,2024,5,23
ST10492,Heather Bolton,Female,EEE,2022,6,24
ST10493,William Gould,Female,MECH,2022,4,22
ST10494,Mark Cox,Male,AI_DS,2024,1,19
ST10495,Meghan Cisneros,Female,EEE,2023,8,18
ST10496,Lawrence Harrington,Male,AI_DS,2022,2,25
ST10497,Austin Osborne,Female,AI_DS,2023,2,18
ST10498,James Bradley,Male,IT,2024,8,22
ST10499,Meghan Rush,Male,CSE,2024,5,18
ST10500,Phillip Berry,Male,ECE,2022,4,20
ST10501,Jennifer Banks,Female,CSE,2023,3,21
ST10502,Brian Fitzgerald,Female,AI_DS,2024,6,24
ST10503,Mr. Justin Green III,Male,AI_DS,2024,2,23
ST10504,Zachary Mitchell,Male,CSE,2023,4,19
